from_postcode,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_mrs_dists_0,drip_ship_nlvo_ivt_mrs_dists_1,drip_ship_nlvo_ivt_mrs_dists_2,drip_ship_nlvo_ivt_mrs_dists_3,drip_ship_nlvo_ivt_mrs_dists_4,drip_ship_nlvo_ivt_mrs_dists_5,drip_ship_nlvo_ivt_mrs_dists_6,drip_ship_lvo_ivt_mrs_dists_0,drip_ship_lvo_ivt_mrs_dists_1,drip_ship_lvo_ivt_mrs_dists_2,drip_ship_lvo_ivt_mrs_dists_3,drip_ship_lvo_ivt_mrs_dists_4,drip_ship_lvo_ivt_mrs_dists_5,drip_ship_lvo_ivt_mrs_dists_6,drip_ship_lvo_ivt_mt_mrs_dists_0,drip_ship_lvo_ivt_mt_mrs_dists_1,drip_ship_lvo_ivt_mt_mrs_dists_2,drip_ship_lvo_ivt_mt_mrs_dists_3,drip_ship_lvo_ivt_mt_mrs_dists_4,drip_ship_lvo_ivt_mt_mrs_dists_5,drip_ship_lvo_ivt_mt_mrs_dists_6,drip_ship_lvo_mt_mrs_dists_0,drip_ship_lvo_mt_mrs_dists_1,drip_ship_lvo_mt_mrs_dists_2,drip_ship_lvo_mt_mrs_dists_3,drip_ship_lvo_mt_mrs_dists_4,drip_ship_lvo_mt_mrs_dists_5,drip_ship_lvo_mt_mrs_dists_6,mothership_nlvo_ivt_mrs_dists_0,mothership_nlvo_ivt_mrs_dists_1,mothership_nlvo_ivt_mrs_dists_2,mothership_nlvo_ivt_mrs_dists_3,mothership_nlvo_ivt_mrs_dists_4,mothership_nlvo_ivt_mrs_dists_5,mothership_nlvo_ivt_mrs_dists_6,mothership_lvo_ivt_mrs_dists_0,mothership_lvo_ivt_mrs_dists_1,mothership_lvo_ivt_mrs_dists_2,mothership_lvo_ivt_mrs_dists_3,mothership_lvo_ivt_mrs_dists_4,mothership_lvo_ivt_mrs_dists_5,mothership_lvo_ivt_mrs_dists_6,mothership_lvo_ivt_mt_mrs_dists_0,mothership_lvo_ivt_mt_mrs_dists_1,mothership_lvo_ivt_mt_mrs_dists_2,mothership_lvo_ivt_mt_mrs_dists_3,mothership_lvo_ivt_mt_mrs_dists_4,mothership_lvo_ivt_mt_mrs_dists_5,mothership_lvo_ivt_mt_mrs_dists_6,mothership_lvo_mt_mrs_dists_0,mothership_lvo_mt_mrs_dists_1,mothership_lvo_mt_mrs_dists_2,mothership_lvo_mt_mrs_dists_3,mothership_lvo_mt_mrs_dists_4,mothership_lvo_mt_mrs_dists_5,mothership_lvo_mt_mrs_dists_6
N00000001,19.0326579023751,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,109.03265790237509,257.7812760502833,121.4005615242259,181.4005615242259,0.36255,0.58989,0.70586,0.82482,0.92159,0.95537,1.0,0.10402,0.19596,0.32837,0.49061,0.70891,0.8234,1.0,0.12095,0.23463,0.38069,0.55398,0.75709,0.85529,1.0,0.12095,0.23463,0.38069,0.55398,0.75709,0.85529,1.0,0.3536,0.58383,0.70032,0.82014,0.91905,0.95383,1.0,0.1005,0.19206,0.32476,0.48705,0.70646,0.82168,1.0,0.16268,0.28562,0.42914,0.60194,0.78856,0.87592,1.0,0.16268,0.28562,0.42914,0.60194,0.78856,0.87592,1.0
N00000002,23.2922777214499,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,113.29227772144989,262.0408958693581,114.6777297765005,174.67772977650048,0.35945,0.58781,0.70396,0.82322,0.92073,0.95485,1.0,0.10279,0.19461,0.32713,0.48938,0.70807,0.82281,1.0,0.11892,0.23198,0.37805,0.55127,0.75524,0.85406,1.0,0.11892,0.23198,0.37805,0.55127,0.75524,0.85406,1.0,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0
N00000003,20.4713346082219,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,114.6777297765005,174.67772977650048,0.3615,0.58919,0.70522,0.82428,0.9213,0.9552,1.0,0.1036,0.19551,0.32795,0.4902,0.70863,0.8232,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0
N00000004,24.6777297765005,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,114.6777297765005,263.4263479244087,120.0802640216665,180.0802640216665,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.11827,0.23112,0.37719,0.55039,0.75464,0.85366,1.0,0.11827,0.23112,0.37719,0.55039,0.75464,0.85366,1.0,0.35455,0.58448,0.70091,0.82064,0.91933,0.954,1.0,0.10087,0.19247,0.32515,0.48743,0.70672,0.82186,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0
N00000005,16.0884404323873,BT412RL,32.7101681851292,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,122.71016818512919,182.7101681851292,0.3647,0.59133,0.70717,0.82592,0.92219,0.95573,1.0,0.10487,0.1969,0.32923,0.49146,0.70949,0.8238,1.0,0.12237,0.23648,0.38252,0.55585,0.75836,0.85613,1.0,0.12237,0.23648,0.38252,0.55585,0.75836,0.85613,1.0,0.35265,0.58318,0.69973,0.81964,0.91878,0.95367,1.0,0.10013,0.19165,0.32438,0.48667,0.7062,0.82149,1.0,0.16188,0.2847,0.42829,0.60113,0.78804,0.87559,1.0,0.16188,0.2847,0.42829,0.60113,0.78804,0.87559,1.0
N00000006,20.4713346082219,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,117.4048869057523,177.4048869057523,0.3615,0.58919,0.70522,0.82428,0.9213,0.9552,1.0,0.1036,0.19551,0.32795,0.4902,0.70863,0.8232,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000007,13.034936869946,BT412RL,32.7101681851292,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,122.71016818512919,182.7101681851292,0.36693,0.59283,0.70852,0.82705,0.9228,0.9561,1.0,0.10576,0.19788,0.33013,0.49234,0.7101,0.82423,1.0,0.12386,0.2384,0.38442,0.5578,0.75967,0.85701,1.0,0.12386,0.2384,0.38442,0.5578,0.75967,0.85701,1.0,0.35265,0.58318,0.69973,0.81964,0.91878,0.95367,1.0,0.10013,0.19165,0.32438,0.48667,0.7062,0.82149,1.0,0.16188,0.2847,0.42829,0.60113,0.78804,0.87559,1.0,0.16188,0.2847,0.42829,0.60113,0.78804,0.87559,1.0
N00000008,13.034936869946,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,118.7486181479082,178.7486181479082,0.36693,0.59283,0.70852,0.82705,0.9228,0.9561,1.0,0.10576,0.19788,0.33013,0.49234,0.7101,0.82423,1.0,0.12386,0.2384,0.38442,0.5578,0.75967,0.85701,1.0,0.12386,0.2384,0.38442,0.5578,0.75967,0.85701,1.0,0.35551,0.58513,0.70151,0.82115,0.9196,0.95417,1.0,0.10124,0.19289,0.32554,0.48781,0.70698,0.82205,1.0,0.16432,0.28751,0.43085,0.60357,0.78959,0.87659,1.0,0.16432,0.28751,0.43085,0.60357,0.78959,0.87659,1.0
N00000009,14.5772411907136,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,104.57724119071361,253.3258593386218,117.4048869057523,177.4048869057523,0.3658,0.59207,0.70784,0.82648,0.92249,0.95592,1.0,0.10531,0.19739,0.32967,0.49189,0.70979,0.82401,1.0,0.12311,0.23743,0.38346,0.55682,0.75901,0.85657,1.0,0.12311,0.23743,0.38346,0.55682,0.75901,0.85657,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000010,17.5725337832552,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,107.5725337832552,256.3211519311634,118.7486181479082,178.7486181479082,0.36361,0.59061,0.70651,0.82537,0.92189,0.95555,1.0,0.10444,0.19643,0.3288,0.49103,0.7092,0.8236,1.0,0.12165,0.23554,0.3816,0.55491,0.75772,0.85571,1.0,0.12165,0.23554,0.3816,0.55491,0.75772,0.85571,1.0,0.35551,0.58513,0.70151,0.82115,0.9196,0.95417,1.0,0.10124,0.19289,0.32554,0.48781,0.70698,0.82205,1.0,0.16432,0.28751,0.43085,0.60357,0.78959,0.87659,1.0,0.16432,0.28751,0.43085,0.60357,0.78959,0.87659,1.0
N00000011,11.4562670706944,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,120.0802640216665,180.0802640216665,0.36808,0.5936,0.70922,0.82764,0.92311,0.9563,1.0,0.10623,0.19839,0.33059,0.49279,0.71041,0.82444,1.0,0.12464,0.2394,0.38541,0.5588,0.76035,0.85746,1.0,0.12464,0.2394,0.38541,0.5588,0.76035,0.85746,1.0,0.35455,0.58448,0.70091,0.82064,0.91933,0.954,1.0,0.10087,0.19247,0.32515,0.48743,0.70672,0.82186,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0
N00000012,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,120.0802640216665,180.0802640216665,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35455,0.58448,0.70091,0.82064,0.91933,0.954,1.0,0.10087,0.19247,0.32515,0.48743,0.70672,0.82186,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0
N00000013,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,120.0802640216665,180.0802640216665,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35455,0.58448,0.70091,0.82064,0.91933,0.954,1.0,0.10087,0.19247,0.32515,0.48743,0.70672,0.82186,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0
N00000014,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,120.0802640216665,180.0802640216665,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35455,0.58448,0.70091,0.82064,0.91933,0.954,1.0,0.10087,0.19247,0.32515,0.48743,0.70672,0.82186,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0
N00000015,11.4562670706944,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,121.4005615242259,181.4005615242259,0.36808,0.5936,0.70922,0.82764,0.92311,0.9563,1.0,0.10623,0.19839,0.33059,0.49279,0.71041,0.82444,1.0,0.12464,0.2394,0.38541,0.5588,0.76035,0.85746,1.0,0.12464,0.2394,0.38541,0.5588,0.76035,0.85746,1.0,0.3536,0.58383,0.70032,0.82014,0.91905,0.95383,1.0,0.1005,0.19206,0.32476,0.48705,0.70646,0.82168,1.0,0.16268,0.28562,0.42914,0.60194,0.78856,0.87592,1.0,0.16268,0.28562,0.42914,0.60194,0.78856,0.87592,1.0
N00000016,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,120.0802640216665,180.0802640216665,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35455,0.58448,0.70091,0.82064,0.91933,0.954,1.0,0.10087,0.19247,0.32515,0.48743,0.70672,0.82186,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0,0.1635,0.28656,0.42999,0.60275,0.78907,0.87625,1.0
N00000017,9.83402616304834,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,118.7486181479082,178.7486181479082,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35551,0.58513,0.70151,0.82115,0.9196,0.95417,1.0,0.10124,0.19289,0.32554,0.48781,0.70698,0.82205,1.0,0.16432,0.28751,0.43085,0.60357,0.78959,0.87659,1.0,0.16432,0.28751,0.43085,0.60357,0.78959,0.87659,1.0
N00000018,11.4562670706944,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,117.4048869057523,177.4048869057523,0.36808,0.5936,0.70922,0.82764,0.92311,0.9563,1.0,0.10623,0.19839,0.33059,0.49279,0.71041,0.82444,1.0,0.12464,0.2394,0.38541,0.5588,0.76035,0.85746,1.0,0.12464,0.2394,0.38541,0.5588,0.76035,0.85746,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000019,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,117.4048869057523,177.4048869057523,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000020,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,117.4048869057523,177.4048869057523,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000021,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,117.4048869057523,177.4048869057523,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000022,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,117.4048869057523,177.4048869057523,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000023,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.58264431095654,117.4048869057523,177.4048869057523,0.36927,0.59439,0.70994,0.82824,0.92343,0.95649,1.0,0.10671,0.19891,0.33107,0.49326,0.71073,0.82467,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.12544,0.24042,0.38642,0.55983,0.76104,0.85792,1.0,0.35648,0.58579,0.70211,0.82166,0.91988,0.95434,1.0,0.10162,0.19331,0.32593,0.4882,0.70725,0.82223,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0,0.16516,0.28847,0.43172,0.6044,0.79012,0.87693,1.0
N00000024,20.4713346082219,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,114.6777297765005,174.67772977650048,0.3615,0.58919,0.70522,0.82428,0.9213,0.9552,1.0,0.1036,0.19551,0.32795,0.4902,0.70863,0.8232,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0
N00000025,21.8906326516112,BT126BA,21.8906326516112,BT126BA,0.0,BT126BA,False,111.8906326516112,171.8906326516112,111.8906326516112,171.8906326516112,0.36047,0.58849,0.70458,0.82375,0.92101,0.95502,1.0,0.10319,0.19506,0.32754,0.48979,0.70834,0.823,1.0,0.16862,0.29242,0.43529,0.60779,0.79226,0.8783,1.0,0.16862,0.29242,0.43529,0.60779,0.79226,0.8783,1.0,0.36047,0.58849,0.70458,0.82375,0.92101,0.95502,1.0,0.10319,0.19506,0.32754,0.48979,0.70834,0.823,1.0,0.16862,0.29242,0.43529,0.60779,0.79226,0.8783,1.0,0.16862,0.29242,0.43529,0.60779,0.79226,0.8783,1.0
N00000026,20.4713346082219,BT412RL,21.8906326516112,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,111.8906326516112,171.8906326516112,0.3615,0.58919,0.70522,0.82428,0.9213,0.9552,1.0,0.1036,0.19551,0.32795,0.4902,0.70863,0.8232,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.36047,0.58849,0.70458,0.82375,0.92101,0.95502,1.0,0.10319,0.19506,0.32754,0.48979,0.70834,0.823,1.0,0.16862,0.29242,0.43529,0.60779,0.79226,0.8783,1.0,0.16862,0.29242,0.43529,0.60779,0.79226,0.8783,1.0
N00000027,24.6777297765005,BT126BA,24.6777297765005,BT126BA,0.0,BT126BA,False,114.6777297765005,174.67772977650048,114.6777297765005,174.67772977650048,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0,0.16686,0.29042,0.43348,0.60608,0.79118,0.87761,1.0
N00000028,24.6777297765005,BT412RL,26.0482389454077,BT126BA,28.7486181479082,BT126BA,True,114.6777297765005,263.4263479244087,116.0482389454077,176.04823894540772,0.35845,0.58713,0.70334,0.82269,0.92044,0.95468,1.0,0.1024,0.19417,0.32672,0.48898,0.70779,0.82261,1.0,0.11827,0.23112,0.37719,0.55039,0.75464,0.85366,1.0,0.11827,0.23112,0.37719,0.55039,0.75464,0.85366,1.0,0.35746,0.58646,0.70272,0.82218,0.92016,0.95451,1.0,0.10201,0.19374,0.32632,0.48859,0.70752,0.82242,1.0,0.166,0.28944,0.4326,0.60524,0.79065,0.87727,1.0,0.166,0.28944,0.4326,0.60524,0.79065,0.87727,1.0
N00000029,17.5725337832552,BT412RL,23.2922777214499,BT126BA,28.7486181479082,BT126BA,True,107.5725337832552,256.3211519311634,113.29227772144989,173.2922777214499,0.36361,0.59061,0.70651,0.82537,0.92189,0.95555,1.0,0.10444,0.19643,0.3288,0.49103,0.7092,0.8236,1.0,0.12165,0.23554,0.3816,0.55491,0.75772,0.85571,1.0,0.12165,0.23554,0.3816,0.55491,0.75772,0.85571,1.0,0.35945,0.58781,0.70396,0.82322,0.92073,0.95485,1.0,0.10279,0.19461,0.32713,0.48938,0.70807,0.82281,1.0,0.16774,0.29141,0.43438,0.60693,0.79172,0.87796,1.0,0.16774,0.29141,0.43438,0.60693,0.79172,0.87796,1.0
N00000030,19.0326579023751,BT126BA,19.0326579023751,BT126BA,0.0,BT126BA,False,109.03265790237509,169.0326579023751,109.03265790237509,169.0326579023751,0.36255,0.58989,0.70586,0.82482,0.92159,0.95537,1.0,0.10402,0.19596,0.32837,0.49061,0.70891,0.8234,1.0,0.17044,0.29448,0.43714,0.60955,0.79336,0.87901,1.0,0.17044,0.29448,0.43714,0.60955,0.79336,0.87901,1.0,0.36255,0.58989,0.70586,0.82482,0.92159,0.95537,1.0,0.10402,0.19596,0.32837,0.49061,0.70891,0.8234,1.0,0.17044,0.29448,0.43714,0.60955,0.79336,0.87901,1.0,0.17044,0.29448,0.43714,0.60955,0.79336,0.87901,1.0
N00000031,20.4713346082219,BT412RL,39.1166217609521,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,129.1166217609521,189.1166217609521,0.3615,0.58919,0.70522,0.82428,0.9213,0.9552,1.0,0.1036,0.19551,0.32795,0.4902,0.70863,0.8232,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.12026,0.23373,0.3798,0.55307,0.75647,0.85487,1.0,0.34806,0.58003,0.69683,0.81717,0.91743,0.95284,1.0,0.09835,0.18965,0.32253,0.48483,0.70492,0.8206,1.0,0.15799,0.28018,0.42417,0.59716,0.78552,0.87396,1.0,0.15799,0.28018,0.42417,0.59716,0.78552,0.87396,1.0
N00000032,16.0884404323873,BT412RL,35.2996111471651,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,125.29961114716511,185.2996111471651,0.3647,0.59133,0.70717,0.82592,0.92219,0.95573,1.0,0.10487,0.1969,0.32923,0.49146,0.70949,0.8238,1.0,0.12237,0.23648,0.38252,0.55585,0.75836,0.85613,1.0,0.12237,0.23648,0.38252,0.55585,0.75836,0.85613,1.0,0.35079,0.58191,0.69856,0.81864,0.91824,0.95333,1.0,0.09941,0.19084,0.32363,0.48593,0.70568,0.82113,1.0,0.1603,0.28287,0.42662,0.59953,0.78702,0.87493,1.0,0.1603,0.28287,0.42662,0.59953,0.78702,0.87493,1.0
N00000033,16.0884404323873,BT412RL,35.2996111471651,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,125.29961114716511,185.2996111471651,0.3647,0.59133,0.70717,0.82592,0.92219,0.95573,1.0,0.10487,0.1969,0.32923,0.49146,0.70949,0.8238,1.0,0.12237,0.23648,0.38252,0.55585,0.75836,0.85613,1.0,0.12237,0.23648,0.38252,0.55585,0.75836,0.85613,1.0,0.35079,0.58191,0.69856,0.81864,0.91824,0.95333,1.0,0.09941,0.19084,0.32363,0.48593,0.70568,0.82113,1.0,0.1603,0.28287,0.42662,0.59953,0.78702,0.87493,1.0,0.1603,0.28287,0.42662,0.59953,0.78702,0.87493,1.0
N00000034,14.5772411907136,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,104.57724119071361,253.3258593386218,124.0096740062926,184.00967400629258,0.3658,0.59207,0.70784,0.82648,0.92249,0.95592,1.0,0.10531,0.19739,0.32967,0.49189,0.70979,0.82401,1.0,0.12311,0.23743,0.38346,0.55682,0.75901,0.85657,1.0,0.12311,0.23743,0.38346,0.55682,0.75901,0.85657,1.0,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.16108,0.28378,0.42746,0.60032,0.78753,0.87526,1.0,0.16108,0.28378,0.42746,0.60032,0.78753,0.87526,1.0
N00000035,13.034936869946,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,124.0096740062926,184.00967400629258,0.36693,0.59283,0.70852,0.82705,0.9228,0.9561,1.0,0.10576,0.19788,0.33013,0.49234,0.7101,0.82423,1.0,0.12386,0.2384,0.38442,0.5578,0.75967,0.85701,1.0,0.12386,0.2384,0.38442,0.5578,0.75967,0.85701,1.0,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.16108,0.28378,0.42746,0.60032,0.78753,0.87526,1.0,0.16108,0.28378,0.42746,0.60032,0.78753,0.87526,1.0
