from_postcode,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_mrs_dists_0,drip_ship_nlvo_ivt_mrs_dists_1,drip_ship_nlvo_ivt_mrs_dists_2,drip_ship_nlvo_ivt_mrs_dists_3,drip_ship_nlvo_ivt_mrs_dists_4,drip_ship_nlvo_ivt_mrs_dists_5,drip_ship_nlvo_ivt_mrs_dists_6,drip_ship_lvo_ivt_mrs_dists_0,drip_ship_lvo_ivt_mrs_dists_1,drip_ship_lvo_ivt_mrs_dists_2,drip_ship_lvo_ivt_mrs_dists_3,drip_ship_lvo_ivt_mrs_dists_4,drip_ship_lvo_ivt_mrs_dists_5,drip_ship_lvo_ivt_mrs_dists_6,drip_ship_lvo_ivt_mt_mrs_dists_0,drip_ship_lvo_ivt_mt_mrs_dists_1,drip_ship_lvo_ivt_mt_mrs_dists_2,drip_ship_lvo_ivt_mt_mrs_dists_3,drip_ship_lvo_ivt_mt_mrs_dists_4,drip_ship_lvo_ivt_mt_mrs_dists_5,drip_ship_lvo_ivt_mt_mrs_dists_6,drip_ship_lvo_mt_mrs_dists_0,drip_ship_lvo_mt_mrs_dists_1,drip_ship_lvo_mt_mrs_dists_2,drip_ship_lvo_mt_mrs_dists_3,drip_ship_lvo_mt_mrs_dists_4,drip_ship_lvo_mt_mrs_dists_5,drip_ship_lvo_mt_mrs_dists_6,mothership_nlvo_ivt_mrs_dists_0,mothership_nlvo_ivt_mrs_dists_1,mothership_nlvo_ivt_mrs_dists_2,mothership_nlvo_ivt_mrs_dists_3,mothership_nlvo_ivt_mrs_dists_4,mothership_nlvo_ivt_mrs_dists_5,mothership_nlvo_ivt_mrs_dists_6,mothership_lvo_ivt_mrs_dists_0,mothership_lvo_ivt_mrs_dists_1,mothership_lvo_ivt_mrs_dists_2,mothership_lvo_ivt_mrs_dists_3,mothership_lvo_ivt_mrs_dists_4,mothership_lvo_ivt_mrs_dists_5,mothership_lvo_ivt_mrs_dists_6,mothership_lvo_ivt_mt_mrs_dists_0,mothership_lvo_ivt_mt_mrs_dists_1,mothership_lvo_ivt_mt_mrs_dists_2,mothership_lvo_ivt_mt_mrs_dists_3,mothership_lvo_ivt_mt_mrs_dists_4,mothership_lvo_ivt_mt_mrs_dists_5,mothership_lvo_ivt_mt_mrs_dists_6,mothership_lvo_mt_mrs_dists_0,mothership_lvo_mt_mrs_dists_1,mothership_lvo_mt_mrs_dists_2,mothership_lvo_mt_mrs_dists_3,mothership_lvo_mt_mrs_dists_4,mothership_lvo_mt_mrs_dists_5,mothership_lvo_mt_mrs_dists_6
N00003129,34.0096740062926,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,124.0096740062926,272.75829215420083,126.5804618603731,186.5804618603731,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003130,35.2996111471651,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,125.29961114716511,274.0482292950733,126.5804618603731,186.5804618603731,0.35079,0.58191,0.69856,0.81864,0.91824,0.95333,1.0,0.09941,0.19084,0.32363,0.48593,0.70568,0.82113,1.0,0.11335,0.22463,0.37064,0.5436,0.74999,0.85054,1.0,0.11335,0.22463,0.37064,0.5436,0.74999,0.85054,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003131,28.7486181479082,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,118.7486181479082,267.4972362958164,121.4005615242259,181.4005615242259,0.35551,0.58513,0.70151,0.82115,0.9196,0.95417,1.0,0.10124,0.19289,0.32554,0.48781,0.70698,0.82205,1.0,0.11636,0.22862,0.37467,0.54779,0.75286,0.85247,1.0,0.11636,0.22862,0.37467,0.54779,0.75286,0.85247,1.0,0.3536,0.58383,0.70032,0.82014,0.91905,0.95383,1.0,0.1005,0.19206,0.32476,0.48705,0.70646,0.82168,1.0,0.16268,0.28562,0.42914,0.60194,0.78856,0.87592,1.0,0.16268,0.28562,0.42914,0.60194,0.78856,0.87592,1.0
N00003132,34.0096740062926,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,124.0096740062926,272.75829215420083,126.5804618603731,186.5804618603731,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003133,34.0096740062926,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,124.0096740062926,272.75829215420083,126.5804618603731,186.5804618603731,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003134,34.0096740062926,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,124.0096740062926,272.75829215420083,126.5804618603731,186.5804618603731,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003135,34.0096740062926,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,124.0096740062926,272.75829215420083,126.5804618603731,186.5804618603731,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003136,35.2996111471651,BT412RL,37.8526650536016,BT126BA,28.7486181479082,BT126BA,True,125.29961114716511,274.0482292950733,127.8526650536016,187.85266505360158,0.35079,0.58191,0.69856,0.81864,0.91824,0.95333,1.0,0.09941,0.19084,0.32363,0.48593,0.70568,0.82113,1.0,0.11335,0.22463,0.37064,0.5436,0.74999,0.85054,1.0,0.11335,0.22463,0.37064,0.5436,0.74999,0.85054,1.0,0.34896,0.58065,0.6974,0.81766,0.9177,0.95301,1.0,0.0987,0.19004,0.32289,0.48519,0.70517,0.82077,1.0,0.15875,0.28107,0.42498,0.59795,0.78602,0.87428,1.0,0.15875,0.28107,0.42498,0.59795,0.78602,0.87428,1.0
N00003137,34.0096740062926,BT412RL,36.5804618603731,BT126BA,28.7486181479082,BT126BA,True,124.0096740062926,272.75829215420083,126.5804618603731,186.5804618603731,0.35172,0.58255,0.69914,0.81914,0.91851,0.9535,1.0,0.09977,0.19124,0.32401,0.4863,0.70594,0.82131,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.11394,0.22541,0.37143,0.54443,0.75056,0.85092,1.0,0.34988,0.58128,0.69798,0.81815,0.91797,0.95317,1.0,0.09905,0.19044,0.32326,0.48556,0.70543,0.82095,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0,0.15952,0.28196,0.4258,0.59873,0.78652,0.87461,1.0
N00003138,35.2996111471651,BT412RL,37.8526650536016,BT126BA,28.7486181479082,BT126BA,True,125.29961114716511,274.0482292950733,127.8526650536016,187.85266505360158,0.35079,0.58191,0.69856,0.81864,0.91824,0.95333,1.0,0.09941,0.19084,0.32363,0.48593,0.70568,0.82113,1.0,0.11335,0.22463,0.37064,0.5436,0.74999,0.85054,1.0,0.11335,0.22463,0.37064,0.5436,0.74999,0.85054,1.0,0.34896,0.58065,0.6974,0.81766,0.9177,0.95301,1.0,0.0987,0.19004,0.32289,0.48519,0.70517,0.82077,1.0,0.15875,0.28107,0.42498,0.59795,0.78602,0.87428,1.0,0.15875,0.28107,0.42498,0.59795,0.78602,0.87428,1.0
