lsoa,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_added_utility,drip_ship_nlvo_ivt_mean_mrs,drip_ship_nlvo_ivt_mrs_less_equal_2,drip_ship_nlvo_ivt_mrs_shift,drip_ship_nlvo_ivt_added_mrs_less_equal_2,drip_ship_lvo_ivt_added_utility,drip_ship_lvo_ivt_mean_mrs,drip_ship_lvo_ivt_mrs_less_equal_2,drip_ship_lvo_ivt_mrs_shift,drip_ship_lvo_ivt_added_mrs_less_equal_2,drip_ship_lvo_ivt_mt_added_utility,drip_ship_lvo_ivt_mt_mean_mrs,drip_ship_lvo_ivt_mt_mrs_less_equal_2,drip_ship_lvo_ivt_mt_mrs_shift,drip_ship_lvo_ivt_mt_added_mrs_less_equal_2,drip_ship_lvo_mt_added_utility,drip_ship_lvo_mt_mean_mrs,drip_ship_lvo_mt_mrs_less_equal_2,drip_ship_lvo_mt_mrs_shift,drip_ship_lvo_mt_added_mrs_less_equal_2,mothership_nlvo_ivt_added_utility,mothership_nlvo_ivt_mean_mrs,mothership_nlvo_ivt_mrs_less_equal_2,mothership_nlvo_ivt_mrs_shift,mothership_nlvo_ivt_added_mrs_less_equal_2,mothership_lvo_ivt_added_utility,mothership_lvo_ivt_mean_mrs,mothership_lvo_ivt_mrs_less_equal_2,mothership_lvo_ivt_mrs_shift,mothership_lvo_ivt_added_mrs_less_equal_2,mothership_lvo_ivt_mt_added_utility,mothership_lvo_ivt_mt_mean_mrs,mothership_lvo_ivt_mt_mrs_less_equal_2,mothership_lvo_ivt_mt_mrs_shift,mothership_lvo_ivt_mt_added_mrs_less_equal_2,mothership_lvo_mt_added_utility,mothership_lvo_mt_mean_mrs,mothership_lvo_mt_mrs_less_equal_2,mothership_lvo_mt_mrs_shift,mothership_lvo_mt_added_mrs_less_equal_2,drip_ship_lvo_mix_added_utility,drip_ship_lvo_mix_mrs_less_equal_2,drip_ship_lvo_mix_mrs_shift,drip_ship_lvo_mix_added_mrs_less_equal_2,mothership_lvo_mix_added_utility,mothership_lvo_mix_mrs_less_equal_2,mothership_lvo_mix_mrs_shift,mothership_lvo_mix_added_mrs_less_equal_2,drip_ship_weighted_added_utility,drip_ship_weighted_mrs_less_equal_2,drip_ship_weighted_mrs_shift,drip_ship_weighted_added_mrs_less_equal_2,mothership_weighted_added_utility,mothership_weighted_mrs_less_equal_2,mothership_weighted_mrs_shift,mothership_weighted_added_mrs_less_equal_2,drip_ship_weighted_treated_added_utility,drip_ship_weighted_treated_mrs_less_equal_2,drip_ship_weighted_treated_mrs_shift,drip_ship_weighted_treated_added_mrs_less_equal_2,mothership_weighted_treated_added_utility,mothership_weighted_treated_mrs_less_equal_2,mothership_weighted_treated_mrs_shift,mothership_weighted_treated_added_mrs_less_equal_2
N00000802,27.4048869057523,BT126BA,27.4048869057523,BT126BA,0.0,BT126BA,False,117.4048869057523,177.4048869057523,117.4048869057523,177.4048869057523,0.11287,1.65974,0.70211,-0.62026,0.12211,0.056,3.36145,0.32593,-0.27855,0.06093,0.15774,2.84321,0.43172,-0.79679,0.16672,0.15774,2.84321,0.43172,-0.79679,0.16672,0.11287,1.65974,0.70211,-0.62026,0.12211,0.056,3.36145,0.32593,-0.27855,0.06093,0.15774,2.84321,0.43172,-0.79679,0.16672,0.15774,2.84321,0.43172,-0.79679,0.16672,0.14986,0.42352,-0.75663,0.15852,0.14986,0.42352,-0.75663,0.15852,0.03273,0.13976,-0.17146,0.03495,0.03273,0.13976,-0.17146,0.03495,0.13152,0.56165,-0.68902,0.14047,0.13152,0.56165,-0.68902,0.14047
N00000803,27.4048869057523,BT635QQ,30.0802640216665,BT126BA,37.8526650536016,BT126BA,True,117.4048869057523,275.2575519593539,120.0802640216665,180.0802640216665,0.11287,1.65974,0.70211,-0.62026,0.12211,0.056,3.36145,0.32593,-0.27855,0.06093,0.09991,3.15093,0.3699,-0.48907,0.1049,0.09991,3.15093,0.3699,-0.48907,0.1049,0.11177,1.6661,0.70091,-0.6139,0.12091,0.05526,3.3655,0.32515,-0.2745,0.06015,0.15613,2.85187,0.42999,-0.78813,0.16499,0.15613,2.85187,0.42999,-0.78813,0.16499,0.09651,0.36649,-0.47276,0.10149,0.14831,0.42187,-0.74833,0.15687,0.02603,0.13261,-0.13584,0.0278,0.0324,0.13941,-0.16963,0.0346,0.10462,0.5329,-0.54589,0.11172,0.13019,0.56022,-0.68168,0.13904
N00000804,28.7486181479082,BT635QQ,31.4005615242259,BT126BA,37.8526650536016,BT126BA,True,118.7486181479082,276.6012832015098,121.4005615242259,181.4005615242259,0.11232,1.66293,0.70151,-0.61707,0.12151,0.05563,3.36349,0.32554,-0.27651,0.06054,0.09913,3.15502,0.36907,-0.48498,0.10407,0.09913,3.15502,0.36907,-0.48498,0.10407,0.11123,1.66924,0.70032,-0.61076,0.12032,0.0549,3.3675,0.32476,-0.2725,0.05976,0.15534,2.85614,0.42914,-0.78386,0.16414,0.15534,2.85614,0.42914,-0.78386,0.16414,0.09576,0.3657,-0.46883,0.1007,0.14756,0.42105,-0.74423,0.15605,0.02587,0.13243,-0.13495,0.02763,0.03224,0.13923,-0.16873,0.03442,0.10397,0.5322,-0.54233,0.11102,0.12955,0.55952,-0.67806,0.13834
N00000805,24.6777297765005,BT635QQ,34.0096740062926,BT126BA,37.8526650536016,BT126BA,True,114.6777297765005,272.53039483010207,124.0096740062926,184.00967400629256,0.11398,1.65327,0.70334,-0.62673,0.12334,0.05675,3.35732,0.32672,-0.28268,0.06172,0.1015,3.14261,0.37157,-0.49739,0.10657,0.1015,3.14261,0.37157,-0.49739,0.10657,0.11016,1.67545,0.69914,-0.60455,0.11914,0.05418,3.37144,0.32401,-0.26856,0.05901,0.15378,2.86457,0.42746,-0.77543,0.16246,0.15378,2.86457,0.42746,-0.77543,0.16246,0.09803,0.36809,-0.48075,0.10309,0.14606,0.41944,-0.73615,0.15444,0.02636,0.13296,-0.13764,0.02815,0.03192,0.13888,-0.16695,0.03408,0.10594,0.53431,-0.55313,0.11313,0.12826,0.55812,-0.6709,0.13694
N00000806,35.2996111471651,BT635QQ,48.9701057321922,BT126BA,37.8526650536016,BT126BA,True,125.29961114716512,283.1522762007667,138.9701057321922,198.9701057321922,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.09533,3.17493,0.36506,-0.46507,0.10006,0.09533,3.17493,0.36506,-0.46507,0.10006,0.10397,1.71124,0.69234,-0.56876,0.11234,0.05006,3.39388,0.31968,-0.24612,0.05468,0.14486,2.91264,0.41784,-0.72736,0.15284,0.14486,2.91264,0.41784,-0.72736,0.15284,0.09211,0.36185,-0.44969,0.09685,0.13751,0.41023,-0.69007,0.14523,0.02508,0.13159,-0.13063,0.02678,0.03008,0.13689,-0.15675,0.03208,0.1008,0.5288,-0.52495,0.10761,0.12088,0.55011,-0.62992,0.12892
N00000807,35.2996111471651,BT635QQ,46.5458959812848,BT126BA,37.8526650536016,BT126BA,True,125.29961114716512,283.1522762007667,136.5458959812848,196.5458959812848,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.09533,3.17493,0.36506,-0.46507,0.10006,0.09533,3.17493,0.36506,-0.46507,0.10006,0.10498,1.70542,0.69345,-0.57458,0.11345,0.05073,3.39026,0.32038,-0.24974,0.05538,0.1463,2.90488,0.41939,-0.73512,0.15439,0.1463,2.90488,0.41939,-0.73512,0.15439,0.09211,0.36185,-0.44969,0.09685,0.13889,0.41172,-0.69751,0.14672,0.02508,0.13159,-0.13063,0.02678,0.03038,0.13721,-0.1584,0.03241,0.1008,0.5288,-0.52495,0.10761,0.12208,0.5514,-0.63656,0.13022
N00000808,36.5804618603731,BT635QQ,45.3246173009173,BT126BA,37.8526650536016,BT126BA,True,126.5804618603731,284.4331269139747,135.3246173009173,195.3246173009173,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.09459,3.17881,0.36428,-0.46119,0.09928,0.09459,3.17881,0.36428,-0.46119,0.09928,0.10548,1.70249,0.69401,-0.57751,0.11401,0.05106,3.38843,0.32073,-0.25157,0.05573,0.14703,2.90096,0.42018,-0.73904,0.15518,0.14703,2.90096,0.42018,-0.73904,0.15518,0.0914,0.3611,-0.44596,0.0961,0.13959,0.41247,-0.70127,0.14747,0.02493,0.13142,-0.12978,0.02661,0.03053,0.13738,-0.15924,0.03257,0.10018,0.52813,-0.52155,0.10695,0.12268,0.55206,-0.63991,0.13088
N00000809,36.5804618603731,BT635QQ,46.5458959812848,BT126BA,37.8526650536016,BT126BA,True,126.5804618603731,284.4331269139747,136.5458959812848,196.5458959812848,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.09459,3.17881,0.36428,-0.46119,0.09928,0.09459,3.17881,0.36428,-0.46119,0.09928,0.10498,1.70542,0.69345,-0.57458,0.11345,0.05073,3.39026,0.32038,-0.24974,0.05538,0.1463,2.90488,0.41939,-0.73512,0.15439,0.1463,2.90488,0.41939,-0.73512,0.15439,0.0914,0.3611,-0.44596,0.0961,0.13889,0.41172,-0.69751,0.14672,0.02493,0.13142,-0.12978,0.02661,0.03038,0.13721,-0.1584,0.03241,0.10018,0.52813,-0.52155,0.10695,0.12208,0.5514,-0.63656,0.13022
N00000810,37.8526650536016,BT635QQ,46.5458959812848,BT126BA,37.8526650536016,BT126BA,True,127.8526650536016,285.7053301072032,136.5458959812848,196.5458959812848,0.10858,1.68461,0.6974,-0.59539,0.1174,0.05312,3.37722,0.32289,-0.26278,0.05789,0.09385,3.18266,0.3635,-0.45734,0.0985,0.09385,3.18266,0.3635,-0.45734,0.0985,0.10498,1.70542,0.69345,-0.57458,0.11345,0.05073,3.39026,0.32038,-0.24974,0.05538,0.1463,2.90488,0.41939,-0.73512,0.15439,0.1463,2.90488,0.41939,-0.73512,0.15439,0.09069,0.36035,-0.44226,0.09535,0.13889,0.41172,-0.69751,0.14672,0.02478,0.13126,-0.12895,0.02645,0.03038,0.13721,-0.1584,0.03241,0.09956,0.52747,-0.51819,0.10628,0.12208,0.5514,-0.63656,0.13022
N00000811,36.5804618603731,BT635QQ,46.5458959812848,BT126BA,37.8526650536016,BT126BA,True,126.5804618603731,284.4331269139747,136.5458959812848,196.5458959812848,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.09459,3.17881,0.36428,-0.46119,0.09928,0.09459,3.17881,0.36428,-0.46119,0.09928,0.10498,1.70542,0.69345,-0.57458,0.11345,0.05073,3.39026,0.32038,-0.24974,0.05538,0.1463,2.90488,0.41939,-0.73512,0.15439,0.1463,2.90488,0.41939,-0.73512,0.15439,0.0914,0.3611,-0.44596,0.0961,0.13889,0.41172,-0.69751,0.14672,0.02493,0.13142,-0.12978,0.02661,0.03038,0.13721,-0.1584,0.03241,0.10018,0.52813,-0.52155,0.10695,0.12208,0.5514,-0.63656,0.13022
N00000812,36.5804618603731,BT635QQ,46.5458959812848,BT126BA,37.8526650536016,BT126BA,True,126.5804618603731,284.4331269139747,136.5458959812848,196.5458959812848,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.09459,3.17881,0.36428,-0.46119,0.09928,0.09459,3.17881,0.36428,-0.46119,0.09928,0.10498,1.70542,0.69345,-0.57458,0.11345,0.05073,3.39026,0.32038,-0.24974,0.05538,0.1463,2.90488,0.41939,-0.73512,0.15439,0.1463,2.90488,0.41939,-0.73512,0.15439,0.0914,0.3611,-0.44596,0.0961,0.13889,0.41172,-0.69751,0.14672,0.02493,0.13142,-0.12978,0.02661,0.03038,0.13721,-0.1584,0.03241,0.10018,0.52813,-0.52155,0.10695,0.12208,0.5514,-0.63656,0.13022
N00000813,19.0326579023751,BT635QQ,36.5804618603731,BT126BA,37.8526650536016,BT126BA,True,109.03265790237508,266.8853229559767,126.5804618603731,186.5804618603731,0.11627,1.63991,0.70586,-0.64009,0.12586,0.05832,3.34873,0.32837,-0.29127,0.06337,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.15225,2.87286,0.4258,-0.76714,0.1608,0.15225,2.87286,0.4258,-0.76714,0.1608,0.10119,0.37143,-0.49734,0.10643,0.1446,0.41785,-0.7282,0.15285,0.02704,0.13369,-0.14137,0.02888,0.0316,0.13854,-0.1652,0.03373,0.10867,0.53725,-0.56812,0.11607,0.127,0.55674,-0.66386,0.13556
N00000814,20.4713346082219,BT635QQ,36.5804618603731,BT126BA,37.8526650536016,BT126BA,True,110.4713346082219,268.3239996618235,126.5804618603731,186.5804618603731,0.11569,1.64331,0.70522,-0.63669,0.12522,0.05792,3.35092,0.32795,-0.28908,0.06295,0.10395,3.12975,0.37416,-0.51025,0.10916,0.10395,3.12975,0.37416,-0.51025,0.10916,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.15225,2.87286,0.4258,-0.76714,0.1608,0.15225,2.87286,0.4258,-0.76714,0.1608,0.10038,0.37058,-0.49311,0.10558,0.1446,0.41785,-0.7282,0.15285,0.02687,0.1335,-0.14042,0.0287,0.0316,0.13854,-0.1652,0.03373,0.10797,0.5365,-0.5643,0.11532,0.127,0.55674,-0.66386,0.13556
N00000815,21.8906326516112,BT635QQ,35.2996111471651,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,125.29961114716512,185.2996111471651,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.15301,2.86873,0.42662,-0.77127,0.16162,0.15301,2.86873,0.42662,-0.77127,0.16162,0.09959,0.36974,-0.48893,0.10474,0.14532,0.41864,-0.73216,0.15364,0.0267,0.13332,-0.13948,0.02851,0.03176,0.13871,-0.16607,0.0339,0.10728,0.53576,-0.56053,0.11458,0.12763,0.55743,-0.66737,0.13625
N00000816,20.4713346082219,BT635QQ,36.5804618603731,BT126BA,37.8526650536016,BT126BA,True,110.4713346082219,268.3239996618235,126.5804618603731,186.5804618603731,0.11569,1.64331,0.70522,-0.63669,0.12522,0.05792,3.35092,0.32795,-0.28908,0.06295,0.10395,3.12975,0.37416,-0.51025,0.10916,0.10395,3.12975,0.37416,-0.51025,0.10916,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.15225,2.87286,0.4258,-0.76714,0.1608,0.15225,2.87286,0.4258,-0.76714,0.1608,0.10038,0.37058,-0.49311,0.10558,0.1446,0.41785,-0.7282,0.15285,0.02687,0.1335,-0.14042,0.0287,0.0316,0.13854,-0.1652,0.03373,0.10797,0.5365,-0.5643,0.11532,0.127,0.55674,-0.66386,0.13556
N00000817,20.4713346082219,BT635QQ,36.5804618603731,BT126BA,37.8526650536016,BT126BA,True,110.4713346082219,268.3239996618235,126.5804618603731,186.5804618603731,0.11569,1.64331,0.70522,-0.63669,0.12522,0.05792,3.35092,0.32795,-0.28908,0.06295,0.10395,3.12975,0.37416,-0.51025,0.10916,0.10395,3.12975,0.37416,-0.51025,0.10916,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.15225,2.87286,0.4258,-0.76714,0.1608,0.15225,2.87286,0.4258,-0.76714,0.1608,0.10038,0.37058,-0.49311,0.10558,0.1446,0.41785,-0.7282,0.15285,0.02687,0.1335,-0.14042,0.0287,0.0316,0.13854,-0.1652,0.03373,0.10797,0.5365,-0.5643,0.11532,0.127,0.55674,-0.66386,0.13556
N00000818,21.8906326516112,BT635QQ,36.5804618603731,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,126.5804618603731,186.5804618603731,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.15225,2.87286,0.4258,-0.76714,0.1608,0.15225,2.87286,0.4258,-0.76714,0.1608,0.09959,0.36974,-0.48893,0.10474,0.1446,0.41785,-0.7282,0.15285,0.0267,0.13332,-0.13948,0.02851,0.0316,0.13854,-0.1652,0.03373,0.10728,0.53576,-0.56053,0.11458,0.127,0.55674,-0.66386,0.13556
N00000819,21.8906326516112,BT635QQ,36.5804618603731,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,126.5804618603731,186.5804618603731,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.1091,1.68158,0.69798,-0.59842,0.11798,0.05347,3.37531,0.32326,-0.26469,0.05826,0.15225,2.87286,0.4258,-0.76714,0.1608,0.15225,2.87286,0.4258,-0.76714,0.1608,0.09959,0.36974,-0.48893,0.10474,0.1446,0.41785,-0.7282,0.15285,0.0267,0.13332,-0.13948,0.02851,0.0316,0.13854,-0.1652,0.03373,0.10728,0.53576,-0.56053,0.11458,0.127,0.55674,-0.66386,0.13556
N00000820,21.8906326516112,BT635QQ,35.2996111471651,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,125.29961114716512,185.2996111471651,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.15301,2.86873,0.42662,-0.77127,0.16162,0.15301,2.86873,0.42662,-0.77127,0.16162,0.09959,0.36974,-0.48893,0.10474,0.14532,0.41864,-0.73216,0.15364,0.0267,0.13332,-0.13948,0.02851,0.03176,0.13871,-0.16607,0.0339,0.10728,0.53576,-0.56053,0.11458,0.12763,0.55743,-0.66737,0.13625
N00000821,21.8906326516112,BT635QQ,35.2996111471651,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,125.29961114716512,185.2996111471651,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.15301,2.86873,0.42662,-0.77127,0.16162,0.15301,2.86873,0.42662,-0.77127,0.16162,0.09959,0.36974,-0.48893,0.10474,0.14532,0.41864,-0.73216,0.15364,0.0267,0.13332,-0.13948,0.02851,0.03176,0.13871,-0.16607,0.0339,0.10728,0.53576,-0.56053,0.11458,0.12763,0.55743,-0.66737,0.13625
N00000822,21.8906326516112,BT635QQ,35.2996111471651,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,125.29961114716512,185.2996111471651,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.15301,2.86873,0.42662,-0.77127,0.16162,0.15301,2.86873,0.42662,-0.77127,0.16162,0.09959,0.36974,-0.48893,0.10474,0.14532,0.41864,-0.73216,0.15364,0.0267,0.13332,-0.13948,0.02851,0.03176,0.13871,-0.16607,0.0339,0.10728,0.53576,-0.56053,0.11458,0.12763,0.55743,-0.66737,0.13625
N00000823,21.8906326516112,BT635QQ,35.2996111471651,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,125.29961114716512,185.2996111471651,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.15301,2.86873,0.42662,-0.77127,0.16162,0.15301,2.86873,0.42662,-0.77127,0.16162,0.09959,0.36974,-0.48893,0.10474,0.14532,0.41864,-0.73216,0.15364,0.0267,0.13332,-0.13948,0.02851,0.03176,0.13871,-0.16607,0.0339,0.10728,0.53576,-0.56053,0.11458,0.12763,0.55743,-0.66737,0.13625
N00000824,21.8906326516112,BT635QQ,35.2996111471651,BT126BA,37.8526650536016,BT126BA,True,111.8906326516112,269.7432977052128,125.29961114716512,185.2996111471651,0.11511,1.64667,0.70458,-0.63333,0.12458,0.05753,3.35308,0.32754,-0.28692,0.06254,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10312,3.1341,0.37329,-0.5059,0.10829,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.15301,2.86873,0.42662,-0.77127,0.16162,0.15301,2.86873,0.42662,-0.77127,0.16162,0.09959,0.36974,-0.48893,0.10474,0.14532,0.41864,-0.73216,0.15364,0.0267,0.13332,-0.13948,0.02851,0.03176,0.13871,-0.16607,0.0339,0.10728,0.53576,-0.56053,0.11458,0.12763,0.55743,-0.66737,0.13625
N00000825,8.15778606675056,BT126BA,8.15778606675056,BT126BA,0.0,BT126BA,False,98.15778606675056,158.15778606675056,98.15778606675056,158.15778606675056,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16092,0.43547,-0.81675,0.17047,0.16092,0.43547,-0.81675,0.17047,0.03508,0.14232,-0.1846,0.03751,0.03508,0.14232,-0.1846,0.03751,0.14096,0.57192,-0.74185,0.15074,0.14096,0.57192,-0.74185,0.15074
N00000826,8.15778606675056,BT126BA,8.15778606675056,BT126BA,0.0,BT126BA,False,98.15778606675056,158.15778606675056,98.15778606675056,158.15778606675056,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16092,0.43547,-0.81675,0.17047,0.16092,0.43547,-0.81675,0.17047,0.03508,0.14232,-0.1846,0.03751,0.03508,0.14232,-0.1846,0.03751,0.14096,0.57192,-0.74185,0.15074,0.14096,0.57192,-0.74185,0.15074
N00000827,8.15778606675056,BT126BA,8.15778606675056,BT126BA,0.0,BT126BA,False,98.15778606675056,158.15778606675056,98.15778606675056,158.15778606675056,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16092,0.43547,-0.81675,0.17047,0.16092,0.43547,-0.81675,0.17047,0.03508,0.14232,-0.1846,0.03751,0.03508,0.14232,-0.1846,0.03751,0.14096,0.57192,-0.74185,0.15074,0.14096,0.57192,-0.74185,0.15074
N00000828,6.41121146749091,BT126BA,6.41121146749091,BT126BA,0.0,BT126BA,False,96.41121146749092,156.41121146749092,96.41121146749092,156.41121146749092,0.12136,1.61021,0.71145,-0.66979,0.13145,0.06184,3.32941,0.33207,-0.31059,0.06707,0.17033,2.77479,0.44534,-0.86521,0.18034,0.17033,2.77479,0.44534,-0.86521,0.18034,0.12136,1.61021,0.71145,-0.66979,0.13145,0.06184,3.32941,0.33207,-0.31059,0.06707,0.17033,2.77479,0.44534,-0.86521,0.18034,0.17033,2.77479,0.44534,-0.86521,0.18034,0.16192,0.43656,-0.82223,0.17156,0.16192,0.43656,-0.82223,0.17156,0.03529,0.14255,-0.1858,0.03774,0.03529,0.14255,-0.1858,0.03774,0.14181,0.57286,-0.74665,0.15167,0.14181,0.57286,-0.74665,0.15167
N00000829,8.15778606675056,BT126BA,8.15778606675056,BT126BA,0.0,BT126BA,False,98.15778606675056,158.15778606675056,98.15778606675056,158.15778606675056,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.12066,1.61431,0.71068,-0.66569,0.13068,0.06135,3.3321,0.33156,-0.3079,0.06656,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16928,2.78051,0.4442,-0.85949,0.1792,0.16092,0.43547,-0.81675,0.17047,0.16092,0.43547,-0.81675,0.17047,0.03508,0.14232,-0.1846,0.03751,0.03508,0.14232,-0.1846,0.03751,0.14096,0.57192,-0.74185,0.15074,0.14096,0.57192,-0.74185,0.15074
N00000830,6.41121146749091,BT126BA,6.41121146749091,BT126BA,0.0,BT126BA,False,96.41121146749092,156.41121146749092,96.41121146749092,156.41121146749092,0.12136,1.61021,0.71145,-0.66979,0.13145,0.06184,3.32941,0.33207,-0.31059,0.06707,0.17033,2.77479,0.44534,-0.86521,0.18034,0.17033,2.77479,0.44534,-0.86521,0.18034,0.12136,1.61021,0.71145,-0.66979,0.13145,0.06184,3.32941,0.33207,-0.31059,0.06707,0.17033,2.77479,0.44534,-0.86521,0.18034,0.17033,2.77479,0.44534,-0.86521,0.18034,0.16192,0.43656,-0.82223,0.17156,0.16192,0.43656,-0.82223,0.17156,0.03529,0.14255,-0.1858,0.03774,0.03529,0.14255,-0.1858,0.03774,0.14181,0.57286,-0.74665,0.15167,0.14181,0.57286,-0.74665,0.15167
N00000831,6.41121146749091,BT126BA,6.41121146749091,BT126BA,0.0,BT126BA,False,96.41121146749092,156.41121146749092,96.41121146749092,156.41121146749092,0.12136,1.61021,0.71145,-0.66979,0.13145,0.06184,3.32941,0.33207,-0.31059,0.06707,0.17033,2.77479,0.44534,-0.86521,0.18034,0.17033,2.77479,0.44534,-0.86521,0.18034,0.12136,1.61021,0.71145,-0.66979,0.13145,0.06184,3.32941,0.33207,-0.31059,0.06707,0.17033,2.77479,0.44534,-0.86521,0.18034,0.17033,2.77479,0.44534,-0.86521,0.18034,0.16192,0.43656,-0.82223,0.17156,0.16192,0.43656,-0.82223,0.17156,0.03529,0.14255,-0.1858,0.03774,0.03529,0.14255,-0.1858,0.03774,0.14181,0.57286,-0.74665,0.15167,0.14181,0.57286,-0.74665,0.15167
