from_postcode,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_added_utility,drip_ship_lvo_ivt_added_utility,drip_ship_lvo_ivt_mt_added_utility,drip_ship_lvo_mt_added_utility,mothership_nlvo_ivt_added_utility,mothership_lvo_ivt_added_utility,mothership_lvo_ivt_mt_added_utility,mothership_lvo_mt_added_utility,drip_ship_lvo_mix_added_utility,mothership_lvo_mix_added_utility,drip_ship_weighted_added_utility,mothership_weighted_added_utility,drip_ship_weighted_treated_added_utility,mothership_weighted_treated_added_utility
N00000061,8.15778606675056,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,118.7486181479082,178.7486181479082,0.12066,0.06135,0.11649,0.11649,0.11232,0.05563,0.15693,0.15693,0.11222,0.14908,0.02897,0.03256,0.1164,0.13085
N00000062,11.4562670706944,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,118.7486181479082,178.7486181479082,0.11933,0.06043,0.11455,0.11455,0.11232,0.05563,0.15693,0.15693,0.11036,0.14908,0.02857,0.03256,0.11481,0.13085
N00000063,8.15778606675056,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,120.0802640216665,180.0802640216665,0.12066,0.06135,0.11649,0.11649,0.11177,0.05526,0.15613,0.15613,0.11222,0.14831,0.02897,0.0324,0.1164,0.13019
N00000064,8.15778606675056,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,117.4048869057523,177.4048869057523,0.12066,0.06135,0.11649,0.11649,0.11287,0.056,0.15774,0.15774,0.11222,0.14986,0.02897,0.03273,0.1164,0.13152
N00000065,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000066,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000067,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000068,11.4562670706944,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,118.7486181479082,178.7486181479082,0.11933,0.06043,0.11455,0.11455,0.11232,0.05563,0.15693,0.15693,0.11036,0.14908,0.02857,0.03256,0.11481,0.13085
N00000069,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000070,8.15778606675056,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,121.4005615242259,181.4005615242259,0.12066,0.06135,0.11649,0.11649,0.11123,0.0549,0.15534,0.15534,0.11222,0.14756,0.02897,0.03224,0.1164,0.12955
N00000071,8.15778606675056,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,120.0802640216665,180.0802640216665,0.12066,0.06135,0.11649,0.11649,0.11177,0.05526,0.15613,0.15613,0.11222,0.14831,0.02897,0.0324,0.1164,0.13019
N00000072,11.4562670706944,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,120.0802640216665,180.0802640216665,0.11933,0.06043,0.11455,0.11455,0.11177,0.05526,0.15613,0.15613,0.11036,0.14831,0.02857,0.0324,0.11481,0.13019
N00000073,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000074,9.83402616304834,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,121.4005615242259,181.4005615242259,0.11999,0.06088,0.1155,0.1155,0.11123,0.0549,0.15534,0.15534,0.11127,0.14756,0.02876,0.03224,0.11559,0.12955
N00000075,8.15778606675056,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,121.4005615242259,181.4005615242259,0.12066,0.06135,0.11649,0.11649,0.11123,0.0549,0.15534,0.15534,0.11222,0.14756,0.02897,0.03224,0.1164,0.12955
N00000076,9.83402616304834,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,121.4005615242259,181.4005615242259,0.11999,0.06088,0.1155,0.1155,0.11123,0.0549,0.15534,0.15534,0.11127,0.14756,0.02876,0.03224,0.11559,0.12955
N00000077,8.15778606675056,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,121.4005615242259,181.4005615242259,0.12066,0.06135,0.11649,0.11649,0.11123,0.0549,0.15534,0.15534,0.11222,0.14756,0.02897,0.03224,0.1164,0.12955
N00000078,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000079,14.5772411907136,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,117.4048869057523,177.4048869057523,0.11808,0.05956,0.11272,0.11272,0.11287,0.056,0.15774,0.15774,0.1086,0.14986,0.02819,0.03273,0.1133,0.13152
N00000080,14.5772411907136,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,114.6777297765005,174.67772977650048,0.11808,0.05956,0.11272,0.11272,0.11398,0.05675,0.15937,0.15937,0.1086,0.15142,0.02819,0.03306,0.1133,0.13286
N00000081,13.034936869946,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,114.6777297765005,174.67772977650048,0.1187,0.05999,0.11362,0.11362,0.11398,0.05675,0.15937,0.15937,0.10946,0.15142,0.02838,0.03306,0.11404,0.13286
N00000082,9.83402616304834,BT412RL,26.0482389454077,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,116.0482389454077,176.04823894540772,0.11999,0.06088,0.1155,0.1155,0.11342,0.05637,0.15855,0.15855,0.11127,0.15063,0.02876,0.03289,0.11559,0.13218
N00000083,14.5772411907136,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,124.0096740062926,184.00967400629256,0.11808,0.05956,0.11272,0.11272,0.11016,0.05418,0.15378,0.15378,0.1086,0.14606,0.02819,0.03192,0.1133,0.12826
